name;area_name;url;salary_from;salary_to;salary_cur;requirement;responsibility;employer;api
Fullstack разработчик (стажировка);Москва;https://hh.ru/vacancy/86470982;20000;20000;RUR;Проект работает в режиме тестирования, требуется full-stack стажёр, кто смог бы обеспечивать работоспособность проекта. Есть возможность разобраться в хорошем...;Поддерживать работоспособность ресурса. Чинить баги на бэке (в основном) и на фронте (иногда). Back-end: <highlighttext>Python</highlighttext> - Django.;Инвентик;HH
Стажер-разработчик Python;Москва;https://hh.ru/vacancy/84826929;0;0;RUR;Аналитический склад ума, быстрая обучаемость. Знание <highlighttext>Python</highlighttext>, SQL на уровне выборок данных из нескольких таблиц \ insert \ update, хорошие знания Excel...;Обучение профессии Разработчик <highlighttext>Python</highlighttext> в проектах под руководством наставника по индивидуальному плану и включение в Программу развития.;TerraLink;HH
Помощник веб разработчика/junior web developer;Великий Новгород;https://hh.ru/vacancy/86415288;30000;;RUR;Много. Технологии: 1. Опыт с другими языками программирования: PHP, <highlighttext>Python</highlighttext>, Java и т.д... 2. Опыт с Linux и в...;Надо будет делать: 1. Участвовать в разработке новых веб-приложений. Делать то, что сможете делать. 2. Вести проекты на поддержке...;Traffic agency;HH
Аналитик (Могилев);Могилев;https://hh.ru/vacancy/86447854;0;0;RUR;Высшее экономическое/техническое/математическое образование. Базовое знание SQL, <highlighttext>Python</highlighttext>. Умение применять на практике различные статистические методы анализа данных: вероятность, причинно...;Исследование пользовательского поведения, игровых трендов и предоставление рекомендаций по улучшению механик игры и оптимизации монетизации. Работа с инструментами аналитики и...;Феномен Геймз;HH
Python разработчик;Санкт-Петербург;https://hh.ru/vacancy/86740754;50000;150000;RUR;Набор навыков и умений: - Знание <highlighttext>Python</highlighttext>. - Опыт создания на <highlighttext>Python</highlighttext> серверной части для мобильных приложений. - Использование git - в нашем случае...;2) Заполнение анкеты.;Центр Программного Обеспечения;HH
Backend-разработчик;Москва;https://hh.ru/vacancy/85934488;75000;;RUR;Основы программирования по языкам (JavaScript, <highlighttext>Python</highlighttext>).;Веб-разработка при помощи (HTML+CSS, Javascript, JS (GameDev), <highlighttext>Python</highlighttext>). ISmart организует группы и учебный процесс, предоставляет программу обучения и образовательный...;Айсмарт;HH
Data Scientist (удаленно) / временные ряды / CV;Новосибирск;https://hh.ru/vacancy/86598606;0;0;RUR;Пунктуальность, систематичность, ответственное отношение к дедлайнам. . Уверенное владения <highlighttext>Python</highlighttext> для ML (преимущественно временные ряды и cv). . Опыт реализации и применения...;Работа с подготовкой и аннотацией данных (датасетов). Подбор, доработка и обучение моделей, подходящих для решения той или иной задачи. ;Data Acquisition;HH
Веб - программист (стажёр / помощник);Иркутск;https://hh.ru/vacancy/86165439;;30000;RUR;Может уделять работе в офисе (в рабочее время – ПН-ПТ в промежутке с 09-00 до 18-00). ;Работа с небольшими проектами по технической поддержке. Верстка и программирование простых модулей для существующих сайтов. Интеграция баз данных сайтов с...;Мир сайтов;HH
IT Analyst Intern / Стажер IT-аналитик;Москва;https://hh.ru/vacancy/86388281;90000;;RUR;Strong analytical skills. A solid understanding of SQL and <highlighttext>Python</highlighttext> at the junior level. Experience with KNIME, PostgreSQL, and Power...;Design a business-oriented, accurate reporting system to discover potential risks and business opportunities. Perform ad hoc analysis to drill...;Procter & Gamble;HH
Junior Backend - разработчик;Самара;https://hh.ru/vacancy/86425845;0;0;RUR;Node.js (Express). ООП и его реализация в TypeScript. Асинхронный JavaScript. Понимание устройства БД и умение строить запросы на SQL (у...;Возможность обоснованно влиять на стратегические планы и используемые технологии (работа с владельцами напрямую). Печенье, чай, пицца и здоровенный ласковый ручной...;НЕОСОФТ;HH
