name;area_name;url;salary_from;salary_to;salary_cur;requirement;responsibility;employer;api
Junior java разработчик (Platform V Paus);Москва;https://hh.ru/vacancy/86516415;;200000;RUR;Коммерческий опыт разработки на <highlighttext>Java</highlighttext> 8+ от 1 года. Опыт работы с Spring Framework - Spring Core, JDBC, Web, Transactions. ;Разработка cloud-native компонентов интеграционной платформы: мониторинг, autoscaling, компоненты безопасности, типовые интеграционные компоненты, автоматизация работы с cloud (OpenShift API). ;SberTech;HH
Помощник веб разработчика/junior web developer;Великий Новгород;https://hh.ru/vacancy/86415288;30000;;RUR;Много. Технологии: 1. Опыт с другими языками программирования: PHP, Python, <highlighttext>Java</highlighttext> и т.д... 2. Опыт с Linux и в...;Надо будет делать: 1. Участвовать в разработке новых веб-приложений. Делать то, что сможете делать. 2. Вести проекты на поддержке...;Traffic agency;HH
Стажер-разработчик Java;Нижний Новгород;https://hh.ru/vacancy/86320601;0;0;RUR;Знакомство с GIT и GitLab, создание проектов. Знакомство со Spring Framework и основными паттернами.;Основные системы сборки и развертывания приложений. SQL и реляционные базы данных. Оформление документации в Swagger. Разработка REST API. ;Лига Цифровой Экономики;HH
Веб разработчик (Junior Frontend / HTML верстальщик);Ростов-на-Дону;https://hh.ru/vacancy/86472396;;50000;RUR;Динамика усвоения знаний и навыков, полученных в процессе работы / обучения. Качество и скорость выполнения задач. Уверенные знания HTML5, CSS...;Производство услуги под кураторством старшего специалиста — 60%. Обучение — 40%.;SAMEDIA MG;HH
Juniour Java Backend Developer;Минск;https://hh.ru/vacancy/86264197;0;0;RUR;<highlighttext>Java</highlighttext> 8+. Spring Core, Spring MVC, Spring Boot. Большим плюсом будет: - знание низкоуровневого программирования С/С++. - углубленное знание компьютерных...;планировать архитектуру приложений, участвовать в выборе технологий и фреймворков. - проектировать структуру БД и организовывать взаимодействие с ней. - писать качественный код...;Зета Солюшнз;HH
Backend-разработчик;Москва;https://hh.ru/vacancy/85934488;75000;;RUR;Основы программирования по языкам (JavaScript, Python).;Веб-разработка при помощи (HTML+CSS, Javascript, JS (GameDev), Python). ISmart организует группы и учебный процесс, предоставляет программу обучения и образовательный...;Айсмарт;HH
Java программист;Сыктывкар;https://hh.ru/vacancy/86445766;40000;200000;RUR;Знание языков <highlighttext>Java</highlighttext>, SQL. Умение понимать ER-диаграммы. Знание основных структур и алгоритмов. Знание языков <highlighttext>Java</highlighttext>, SQL. Умение понимать ER...;Разработка и оптимизация <highlighttext>Java</highlighttext>-кода, Web-сервисов (REST/SOAP). Интеграция приложений.;Технология;HH
Junior Backend - разработчик;Самара;https://hh.ru/vacancy/86425845;0;0;RUR;Node.js (Express). ООП и его реализация в TypeScript. Асинхронный JavaScript. Понимание устройства БД и умение строить запросы на SQL (у...;Возможность обоснованно влиять на стратегические планы и используемые технологии (работа с владельцами напрямую). Печенье, чай, пицца и здоровенный ласковый ручной...;НЕОСОФТ;HH
Backend разработчик (junior);Москва;https://hh.ru/vacancy/86599753;70000;80000;RUR;Опыт командной работы (jira, Bitrix24 и т.д.). Самостоятельность, умение работать с чужим кодом, рефакторинг и улучшение существующего кода. ;Интеграция API с внешними системами и backend-частью. Проектирование API и доработка.;ЛАНИТ;HH
Junior frontend JS / React developer разработчик;Санкт-Петербург;https://hh.ru/vacancy/86661011;;120000;RUR;React до 2х лет. Знание JavaScript / TypeScript (деструктуризация, промисы, работа с объектами, fetch, прототипы, event loop и т.д.). ;Участие в миграции всех продуктов на React. Представление своих идей, видения. Работа с сокетами. Работа в команде с тимлидом, бек...;Skilla Работа;HH
Программист-стажер;Москва;https://hh.ru/vacancy/86630378;10000;15000;RUR;;Проведение интерактивных перемен с детьми, создание дружеской легкой атмосферы. Подготовка видеороликов и отчетов об уроке. Работа в CRM системе.;KiberOne (ИП Зивтинь Мария Олеговна);HH
